trial;score
bele_rest_prone_1_shot_01;9
bele_rest_prone_1_shot_02;9
bele_rest_prone_1_shot_03;10
bele_rest_prone_1_shot_04;8
bele_rest_prone_1_shot_05;9
bele_rest_prone_2_shot_01;8
bele_rest_prone_2_shot_02;10
bele_rest_prone_2_shot_03;10
bele_rest_prone_2_shot_04;9
bele_rest_prone_2_shot_05;9
bele_rest_prone_3_shot_01;9
bele_rest_prone_3_shot_02;8
bele_rest_prone_3_shot_03;10
bele_rest_prone_3_shot_04;10
bele_rest_prone_3_shot_05;9
bele_rest_standing_1_shot_01;8
bele_rest_standing_1_shot_02;0
bele_rest_standing_1_shot_03;6
bele_rest_standing_1_shot_04;7
bele_rest_standing_1_shot_05;6
bele_rest_standing_2_shot_01;7
bele_rest_standing_2_shot_02;6
bele_rest_standing_2_shot_03;7
bele_rest_standing_2_shot_04;7
bele_rest_standing_2_shot_05;4
bele_rest_standing_3_shot_01;6
bele_rest_standing_3_shot_02;7
bele_rest_standing_3_shot_03;7
bele_rest_standing_3_shot_04;7
bele_rest_standing_3_shot_05;4
bele_load_prone_1_shot_01;8
bele_load_prone_1_shot_02;10
bele_load_prone_1_shot_03;9
bele_load_prone_1_shot_04;8
bele_load_prone_1_shot_05;9
bele_load_prone_2_shot_01;10
bele_load_prone_2_shot_02;8
bele_load_prone_2_shot_03;9
bele_load_prone_2_shot_04;10
bele_load_prone_2_shot_05;10
bele_load_standing_1_shot_01;5
bele_load_standing_1_shot_02;5
bele_load_standing_1_shot_03;6
bele_load_standing_1_shot_04;6
bele_load_standing_1_shot_05;6
bele_load_standing_2_shot_01;4
bele_load_standing_2_shot_02;5
bele_load_standing_2_shot_03;5
bele_load_standing_2_shot_04;10
bele_load_standing_2_shot_05;4
chri_rest_prone_1_shot_01;10
chri_rest_prone_1_shot_02;10
chri_rest_prone_1_shot_03;10
chri_rest_prone_1_shot_04;9
chri_rest_prone_1_shot_05;8
chri_rest_prone_2_shot_01;9
chri_rest_prone_2_shot_02;8
chri_rest_prone_2_shot_03;9
chri_rest_prone_2_shot_04;9
chri_rest_prone_2_shot_05;9
chri_rest_prone_3_shot_01;8
chri_rest_prone_3_shot_02;8
chri_rest_prone_3_shot_03;9
chri_rest_prone_3_shot_04;9
chri_rest_prone_3_shot_05;10
chri_rest_standing_1_shot_01;6
chri_rest_standing_1_shot_02;9
chri_rest_standing_1_shot_03;10
chri_rest_standing_1_shot_04;7
chri_rest_standing_1_shot_05;9
chri_rest_standing_2_shot_01;5
chri_rest_standing_2_shot_02;9
chri_rest_standing_2_shot_03;10
chri_rest_standing_2_shot_04;8
chri_rest_standing_2_shot_05;7
chri_rest_standing_3_shot_01;6
chri_rest_standing_3_shot_02;8
chri_rest_standing_3_shot_03;7
chri_rest_standing_3_shot_04;9
chri_rest_standing_3_shot_05;10
chri_load_prone_1_shot_01;7
chri_load_prone_1_shot_02;8
chri_load_prone_1_shot_03;7
chri_load_prone_1_shot_04;8
chri_load_prone_1_shot_05;9
chri_load_prone_2_shot_01;7
chri_load_prone_2_shot_02;9
chri_load_prone_2_shot_03;10
chri_load_prone_2_shot_04;8
chri_load_prone_2_shot_05;8
chri_load_standing_1_shot_01;7
chri_load_standing_1_shot_02;6
chri_load_standing_1_shot_03;5
chri_load_standing_1_shot_04;6
chri_load_standing_1_shot_05;6
chri_load_standing_2_shot_01;10
chri_load_standing_2_shot_02;7
chri_load_standing_2_shot_03;9
chri_load_standing_2_shot_04;7
chri_load_standing_2_shot_05;8
chta_rest_prone_1_shot_01;8
chta_rest_prone_1_shot_02;9
chta_rest_prone_1_shot_03;9
chta_rest_prone_1_shot_04;8
